Cleared Lines: 0.25 Height Difference: 0.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 0.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 0.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 0.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 0.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 0.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 1.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 1.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 1.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 0.75, Score: 9
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.25 Height Difference: 1.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 0.0, Score: 24
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 0.25, Score: 24
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 0.5, Score: 24
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 0.75, Score: 24
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 0.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 0.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 0.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 0.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 1.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 1.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 1.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 0.5, Score: 9
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.5 Height Difference: 1.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 0.0, Score: 24
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 0.25, Score: 24
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 0.5, Score: 24
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 0.75, Score: 24
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 0.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 0.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 0.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 0.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 1.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 1.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 1.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 0.25, Score: 9
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 0.5, Score: 22
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 0.75, Score: 22
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 0.75 Height Difference: 1.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 0.0, Score: 22
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 0.25, Score: 22
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 0.5, Score: 22
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 0.75, Score: 22
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 0.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 0.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 0.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 0.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 1.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 1.25 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 1.5 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.0 Height Difference: 1.75 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 0.0, Score: 22
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 0.25, Score: 22
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 0.5, Score: 22
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 0.75, Score: 22
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 1.0, Score: 28
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 1.25, Score: 17
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 1.5, Score: 17
Cleared Lines: 1.25 Height Difference: 0.0 Deadspaces: 1.75, Score: 17
Cleared Lines: 1.25 Height Difference: 0.25 Deadspaces: 0.0, Score: 13
Cleared Lines: 1.25 Height Difference: 0.25 Deadspaces: 0.25, Score: 7
Cleared Lines: 1.25 Height Difference: 0.25 Deadspaces: 0.5, Score: 16
Cleared Lines: 1.25 Height Difference: 0.25 Deadspaces: 0.75, Score: 16
Cleared Lines: 1.25 Height Difference: 0.25 Deadspaces: 1.0, Score: 28
